,(-15)%,(-15 - -5)%,(-5 - 5)%,(5 - 15)%,(15+)%,Total,Result,% Accurate
(-15)%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(-15 - -5)%,10.0,10.0,0.0,0.0,0.0,20.0,20.0,100.0
(5 - 15)%,3.0,1.0,3.0,0.0,1.0,8.0,1.0,12.5
(15+)%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
