ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3375,2020-04-05,81.6240921021,6795.2802734375,0.10474883312271435,1047.4883312271436,0.15414939326663785
3720,2020-04-05,79.0233383179,2.065718174,0.10141126553551635,1014.1126553551635,490.92498101590667
3377,2020-04-05,78.4634857178,40.6599273682,0.10069280233340394,1006.9280233340394,24.76462916954334
3333,2020-04-05,78.3451156616,0.5483731627,0.10054089711835898,1005.4089711835898,1833.4394160233942
3335,2020-04-05,78.16771698,0.1465370804,0.10031324000859457,1003.1324000859456,6845.587460509727
3337,2020-04-05,77.5949325562,0.0003319109,0.09957818129640864,995.7818129640864,3000147.970326031
3391,2020-04-05,76.7635955811,32.6023864746,0.0985113200814065,985.1132008140651,30.21598439063812
3381,2020-04-05,76.7628631592,53.4915428162,0.09851038015867776,985.1038015867776,18.416066348500184
3382,2020-04-05,76.7062454224,67.1010284424,0.0984377221760759,984.377221760759,14.67007651910664
3389,2020-04-05,75.78490448,307.111541748,0.09725535816884304,972.5535816884303,3.16677639711261
