ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3719,2020-04-05,84.4689025879,1.0317908525,0.10583100656320445,1058.3100656320444,1025.7021208007313
3786,2020-04-05,80.5182418823,0.0098043298,0.1008812275764553,1008.8122757645531,102894.56763934573
3484,2020-04-05,79.9906463623,0.0502376668,0.10022020365843134,1002.2020365843134,19949.21540791607
3796,2020-04-05,79.7657318115,2.2770192623,0.09993840843471449,999.384084347145,438.90014498062465
3394,2020-04-05,79.4747085571,7.285279274,0.09957378568003383,995.7378568003384,136.67806261785572
3731,2020-04-05,79.3003082275,0.0004591358,0.09935527967532617,993.5527967532618,2163962.8117721635
3393,2020-04-05,79.1067657471,0.001866076,0.09911279048834809,991.1279048834809,531129.4421467726
3337,2020-04-05,78.8362884521,0.0003319109,0.09877390974637852,987.7390974637852,2975916.4205326946
3404,2020-04-05,78.3708953857,0.0173341837,0.0981908192224618,981.908192224618,56645.770531704824
3487,2020-04-05,78.3164215088,1.0718011856,0.09812256895464606,981.2256895464607,915.4922598794899
