ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3375,2020-04-05,80.4961853027,6795.2802734375,0.1085183847901684,1085.183847901684,0.15969670186285437
3306,2020-04-05,77.2477035522,143.6284484863,0.10413904692143619,1041.390469214362,7.250586357992268
3382,2020-04-05,75.1008834839,67.1010284424,0.10124487938578254,1012.4487938578254,15.08842438572933
2974,2020-04-05,74.4724349976,0.0114550646,0.10039765644719673,1003.9765644719672,87644.7754360082
3720,2020-04-05,74.0329818726,2.065718174,0.09980522162389843,998.0522162389843,483.1502325926597
3389,2020-04-05,73.6590499878,307.111541748,0.09930111718705528,993.0111718705529,3.233389296340308
3307,2020-04-05,72.7943878174,7.0444831848,0.0981354502455956,981.354502455956,139.3082326569309
3312,2020-04-05,72.6307144165,13.7333469391,0.09791479912986893,979.1479912986894,71.29711319758276
3315,2020-04-05,70.9275665283,0.031972155,0.09561875420312815,956.1875420312815,29906.884350813434
3333,2020-04-05,70.412727356,0.5483731627,0.09492469006586984,949.2469006586985,1731.0236262929693
