ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3375,2020-04-05,64.4086074829,6795.2802734375,0.10851838744955755,1085.1838744955755,0.1596967057764371
3306,2020-04-05,61.8093490601,143.6284484863,0.10413904525244791,1041.390452524479,7.250586241790478
3382,2020-04-05,60.091583252,67.1010284424,0.10124487966191735,1012.4487966191735,15.088424426881428
2974,2020-04-05,59.5887336731,0.0114550646,0.100397657100144,1003.9765710014401,87644.77600601572
3720,2020-04-05,59.2371063232,2.065718174,0.09980522024293606,998.0522024293606,483.15022590751556
3389,2020-04-05,58.9379081726,307.111541748,0.09930111835190197,993.0111835190197,3.2333893342694164
3307,2020-04-05,58.2460517883,7.0444831848,0.0981354490088588,981.354490088588,139.3082309013205
3312,2020-04-05,58.1150894165,13.7333469391,0.09791479798161716,979.1479798161716,71.29711236147793
3315,2020-04-05,56.7523269653,0.031972155,0.09561875728984638,956.1875728984638,29906.885316252963
3333,2020-04-05,56.3403778076,0.5483731627,0.09492468766077272,949.2468766077272,1731.0235824342014
