ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3719,2020-04-05,63.4180793762,1.0317908525,0.10583100670236831,1058.3100670236831,1025.7021221494917
3786,2020-04-05,60.4519767761,0.0098043298,0.10088122539018149,1008.8122539018149,102894.56540943928
3484,2020-04-05,60.0558662415,0.0502376668,0.10022020290172903,1002.2020290172903,19949.215257291573
3796,2020-04-05,59.8870048523,2.2770192623,0.09993840990219359,999.3840990219359,438.9001514253619
3394,2020-04-05,59.6685066223,7.285279274,0.09957378379129525,995.7378379129525,136.67806002531464
3731,2020-04-05,59.5375709534,0.0004591358,0.09935528058543917,993.5528058543917,2163962.831594469
3393,2020-04-05,59.3922653198,0.001866076,0.09911279702815276,991.1279702815276,531129.4771925301
3337,2020-04-05,59.1891899109,0.0003319109,0.09877390825744602,987.7390825744602,2975916.3756732913
3404,2020-04-05,58.8397789001,0.0173341837,0.09819081713596162,981.9081713596162,56645.76932801377
3487,2020-04-05,58.7988815308,1.0718011856,0.09812256830523272,981.2256830523272,915.492253820406
