ico_id,date,Grade,Initial Price,Grade Weight,Holding Amount,Holding Volume
3375,2020-04-05,60.6060600281,6795.2802734375,0.10597067041435221,1059.706704143522,0.15594746081127464
3306,2020-04-05,60.6060600281,143.6284484863,0.10597067041435221,1059.706704143522,7.3781114766034825
3312,2020-04-05,58.5858573914,13.7333469391,0.10243831362223138,1024.3831362223139,74.59093116666327
3168,2020-04-05,58.1818199158,0.0960106626,0.10173184759982366,1017.3184759982366,10595.890585992442
2974,2020-04-05,57.7777786255,0.0114550646,0.10102537490735168,1010.2537490735168,88192.7587796857
3382,2020-04-05,55.7575759888,67.1010284424,0.09749301811523087,974.9301811523087,14.529288205905752
3307,2020-04-05,55.7575759888,7.0444831848,0.09749301811523087,974.9301811523087,138.39626777105977
3346,2020-04-05,55.3535346985,0.1002015471,0.09678654542275887,967.8654542275887,9659.186731534894
3153,2020-04-05,55.3535346985,0.0043274192,0.09678654542275887,967.8654542275887,223658.8159121697
3211,2020-04-05,53.9337310791,0.3832596838,0.09430399596590948,943.0399596590947,2460.5769913206163
